sex,age,denom_breast_cancer,denom_cirrhosis,denom_esophageal_cancer,denom_epilepsy,denom_injuries,denom_ischaemic_stroke,denom_aud,denom_liver_cancer,denom_ischemic_heart_disease,denom_pancreatitis
Male,65,1.2293943631280089,3.613524385850561,1.3848200968582918,2.161640645669465,1.1054116865352293,1.1855399645066713,7.233018561297238,1.1583373238696801,1.0,1.3287069165619223
Male,66,1.2298337070237335,3.623849920784843,1.3856754643808953,2.1675495801036413,1.105591587990965,1.1866464448756255,7.274040709529626,1.1586113734975385,1.0,1.3294057405856539
Male,67,1.2311773522245277,3.6470268698758557,1.3881985940279482,2.1845256788866747,1.1061582474074751,1.1891783179707216,7.334564957299611,1.1593852185491826,1.0,1.3314925659553907
Male,68,1.2290028262254231,3.6107152787994314,1.3842159597123138,2.167273760195591,1.1052363954761921,1.185228080644343,7.2271613590340635,1.1580815182048179,1.0,1.3281590390612343
Male,69,1.229324455989337,3.6183582159862233,1.3848672165546603,2.1708660170680236,1.1053508329681132,1.1864159855302476,7.2507625984936945,1.1582142791342185,1.0,1.3287002310737432
Male,70,1.2284405213305731,3.6106752795261405,1.3834240305758008,2.1615630847562817,1.104924748401794,1.186472090170325,7.247387838755695,1.157556996960981,1.0,1.3274772529318273
Male,71,1.2292305801142038,3.617066906536761,1.3846997862417725,2.16955602940262,1.1053154651889951,1.1860764346527621,7.249518289710704,1.158179088196824,1.0,1.328553040727492
Male,72,1.2300867774343327,3.6256067861711947,1.386113663348161,2.174343000512506,1.1057208194834778,1.1864567496370053,7.266974301582886,1.1587933134472312,1.0,1.3297590953697072
Male,73,1.2305620519152782,3.637865176935916,1.3870258776550395,2.1679473147587127,1.105883073349336,1.188794417426984,7.33031129807322,1.1590033699904916,1.0,1.3305558228113068
Male,74,1.2289951571904825,3.6267114815810517,1.3845747030862605,2.162522518706617,1.1051121690823686,1.1892405744652987,7.320162264170758,1.1577839335629494,1.0,1.3284406331839986
Male,75,1.2298716986915892,3.623740441721087,1.3857266617127244,2.165946143268556,1.1056038372316834,1.1868880000442135,7.2730272591671445,1.1586167809480894,1.0,1.329463080864306
Male,76,1.2272630503596211,3.585372799318054,1.381177144666338,2.1608214967084534,1.104482224717441,1.1822478357601742,7.146114611771297,1.1569905751174938,1.0,1.3255636290624357
Male,77,1.2315750133010432,3.655710404161884,1.3888979055694166,2.171947297679442,1.1062937092841034,1.1912101276062603,7.3875237785113494,1.1595600684159473,1.0,1.332138904423645
Male,78,1.230816208714582,3.633328047334454,1.3873572785995252,2.1859179127459107,1.1060637138889935,1.1865519096825954,7.269645024033257,1.159310530786255,1.0,1.3307950968961508
Male,79,1.2297872551106395,3.6307601894245733,1.3858004490911944,2.1690908550776147,1.105511611352431,1.188520578569661,7.307662033495167,1.1584129671946315,1.0,1.3294892015334732
